01/01/2010;  Ano Novo; americana-sp
02/04/2010;  SextaFeira Santa; americana-sp
02/04/2010;  SextaFeira Santa; americana-sp
21/04/2010;  Dia de Tiradentes; americana-sp
01/05/2010;  Dia do Trabalho; americana-sp
03/06/2010;  Corpus Christi; americana-sp
13/06/2010;  Dia de Santo Antônio; americana-sp
09/07/2010;  Revolução Constitucionalista; americana-sp
07/09/2010;  Independência do Brasil; americana-sp
12/10/2010;  Nossa Senhora Aparecida; americana-sp
02/11/2010;  Dia de Finados; americana-sp
15/11/2010;  Proclamação da República; americana-sp
21/11/2010;  Dia da Consciência Negra; americana-sp
25/12/2010;  Natal; americana-sp
15/02/2010; Carnaval; americana-sp
16/02/2010; Carnaval; americana-sp
17/02/2010; Carnaval; americana-sp
03/06/2010; Corpus Christi; americana-sp
01/01/2011;  Ano Novo; americana-sp
21/04/2011;  Dia de Tiradentes; americana-sp
22/04/2011;  SextaFeira Santa; americana-sp
22/04/2011;  SextaFeira Santa; americana-sp
01/05/2011;  Dia do Trabalho; americana-sp
13/06/2011;  Dia de Santo Antônio; americana-sp
23/06/2011;  Corpus Christi; americana-sp
09/07/2011;  Revolução Constitucionalista; americana-sp
07/09/2011;  Independência do Brasil; americana-sp
12/10/2011;  Nossa Senhora Aparecida; americana-sp
02/11/2011;  Dia de Finados; americana-sp
15/11/2011;  Proclamação da República; americana-sp
20/11/2011;  Dia da Consciência Negra; americana-sp
25/12/2011;  Natal; americana-sp
07/03/2011; Carnaval; americana-sp
08/03/2011; Carnaval; americana-sp
09/03/2011; Carnaval; americana-sp
23/06/2011; Corpus Christi; americana-sp
01/01/2012;  Ano Novo; americana-sp
06/04/2012;  SextaFeira Santa; americana-sp
06/04/2012;  SextaFeira Santa; americana-sp
21/04/2012;  Dia de Tiradentes; americana-sp
01/05/2012;  Dia do Trabalho; americana-sp
07/06/2012;  Corpus Christi; americana-sp
13/06/2012;  Dia de Santo Antônio; americana-sp
09/07/2012;  Revolução Constitucionalista; americana-sp
07/09/2012;  Independência do Brasil; americana-sp
12/10/2012;  Nossa Senhora Aparecida; americana-sp
02/11/2012;  Dia de Finados; americana-sp
15/11/2012;  Proclamação da República; americana-sp
18/11/2012;  Dia da Consciência Negra; americana-sp
25/12/2012;  Natal; americana-sp
20/02/2012; Carnaval; americana-sp
21/02/2012; Carnaval; americana-sp
22/02/2012; Carnaval; americana-sp
07/06/2012; Corpus Christi; americana-sp
01/01/2013;  Ano Novo; americana-sp
29/03/2013;  SextaFeira Santa; americana-sp
29/03/2013;  SextaFeira Santa; americana-sp
21/04/2013;  Dia de Tiradentes; americana-sp
01/05/2013;  Dia do Trabalho; americana-sp
30/05/2013;  Corpus Christi; americana-sp
13/06/2013;  Dia de Santo Antônio; americana-sp
09/07/2013;  Revolução Constitucionalista; americana-sp
07/09/2013;  Independência do Brasil; americana-sp
12/10/2013;  Nossa Senhora Aparecida; americana-sp
02/11/2013;  Dia de Finados; americana-sp
15/11/2013;  Proclamação da República; americana-sp
17/11/2013;  Dia da Consciência Negra; americana-sp
25/12/2013;  Natal; americana-sp
11/02/2013; Carnaval; americana-sp
12/02/2013; Carnaval; americana-sp
13/02/2013; Carnaval; americana-sp
30/05/2013; Corpus Christi; americana-sp
01/01/2014;  Ano Novo; americana-sp
18/04/2014;  SextaFeira Santa; americana-sp
18/04/2014;  SextaFeira Santa; americana-sp
21/04/2014;  Dia de Tiradentes; americana-sp
01/05/2014;  Dia do Trabalho; americana-sp
13/06/2014;  Dia de Santo Antônio; americana-sp
19/06/2014;  Corpus Christi; americana-sp
09/07/2014;  Revolução Constitucionalista; americana-sp
07/09/2014;  Independência do Brasil; americana-sp
12/10/2014;  Nossa Senhora Aparecida; americana-sp
02/11/2014;  Dia de Finados; americana-sp
15/11/2014;  Proclamação da República; americana-sp
16/11/2014;  Dia da Consciência Negra; americana-sp
25/12/2014;  Natal; americana-sp
03/03/2014; Carnaval; americana-sp
04/03/2014; Carnaval; americana-sp
05/03/2014; Carnaval; americana-sp
19/06/2014; Corpus Christi; americana-sp
01/01/2015;  Ano Novo; americana-sp
03/04/2015;  SextaFeira Santa; americana-sp
03/04/2015;  SextaFeira Santa; americana-sp
21/04/2015;  Dia de Tiradentes; americana-sp
01/05/2015;  Dia do Trabalho; americana-sp
04/06/2015;  Corpus Christi; americana-sp
13/06/2015;  Dia de Santo Antônio; americana-sp
09/07/2015;  Revolução Constitucionalista; americana-sp
07/09/2015;  Independência do Brasil; americana-sp
12/10/2015;  Nossa Senhora Aparecida; americana-sp
02/11/2015;  Dia de Finados; americana-sp
15/11/2015;  Proclamação da República; americana-sp
15/11/2015;  Dia da Consciência Negra; americana-sp
25/12/2015;  Natal; americana-sp
16/02/2015; Carnaval; americana-sp
17/02/2015; Carnaval; americana-sp
18/02/2015; Carnaval; americana-sp
04/06/2015; Corpus Christi; americana-sp
01/01/2016;  Ano Novo; americana-sp
25/03/2016;  SextaFeira Santa; americana-sp
25/03/2016;  SextaFeira Santa; americana-sp
21/04/2016;  Dia de Tiradentes; americana-sp
01/05/2016;  Dia do Trabalho; americana-sp
26/05/2016;  Corpus Christi; americana-sp
13/06/2016;  Dia de Santo Antônio; americana-sp
09/07/2016;  Revolução Constitucionalista; americana-sp
07/09/2016;  Independência do Brasil; americana-sp
12/10/2016;  Nossa Senhora Aparecida; americana-sp
02/11/2016;  Dia de Finados; americana-sp
15/11/2016;  Proclamação da República; americana-sp
20/11/2016;  Dia da Consciência Negra; americana-sp
25/12/2016;  Natal; americana-sp
08/02/2016; Carnaval; americana-sp
09/02/2016; Carnaval; americana-sp
10/02/2016; Carnaval; americana-sp
26/05/2016; Corpus Christi; americana-sp
01/01/2017;  Ano Novo; americana-sp
14/04/2017;  SextaFeira Santa; americana-sp
14/04/2017;  SextaFeira Santa; americana-sp
21/04/2017;  Dia de Tiradentes; americana-sp
01/05/2017;  Dia do Trabalho; americana-sp
13/06/2017;  Dia de Santo Antônio; americana-sp
15/06/2017;  Corpus Christi; americana-sp
09/07/2017;  Revolução Constitucionalista; americana-sp
07/09/2017;  Independência do Brasil; americana-sp
12/10/2017;  Nossa Senhora Aparecida; americana-sp
02/11/2017;  Dia de Finados; americana-sp
15/11/2017;  Proclamação da República; americana-sp
19/11/2017;  Dia da Consciência Negra; americana-sp
25/12/2017;  Natal; americana-sp
27/02/2017; Carnaval; americana-sp
28/02/2017; Carnaval; americana-sp
01/03/2017; Carnaval; americana-sp
15/06/2017; Corpus Christi; americana-sp
01/01/2018;  Ano Novo; americana-sp
30/03/2018;  SextaFeira Santa; americana-sp
30/03/2018;  SextaFeira Santa; americana-sp
21/04/2018;  Dia de Tiradentes; americana-sp
01/05/2018;  Dia do Trabalho; americana-sp
31/05/2018;  Corpus Christi; americana-sp
13/06/2018;  Dia de Santo Antônio; americana-sp
09/07/2018;  Revolução Constitucionalista; americana-sp
07/09/2018;  Independência do Brasil; americana-sp
12/10/2018;  Nossa Senhora Aparecida; americana-sp
02/11/2018;  Dia de Finados; americana-sp
